Category,Method,Set_idx,MAE,RMSE,Time
MNAR,GAIN,1,inf,inf,1.9475293159484863
MNAR,MiceForest,1,0.5120648874391689,0.6941414785599083,14.94041657447815
MNAR,GAIN,10,inf,inf,1.7650105953216553
MNAR,MiceForest,10,0.49494866193378523,0.6720461229228883,15.632933855056763
MNAR,GAIN,11,inf,inf,2.030383348464966
MNAR,MiceForest,11,0.5141527054168631,0.6935909385327613,15.29355263710022
MNAR,GAIN,12,inf,inf,1.9323537349700928
MNAR,MiceForest,12,0.5141989691780485,0.6809941775452623,15.192558526992798
MNAR,GAIN,13,inf,inf,1.9113519191741943
MNAR,MiceForest,13,0.5156507374431373,0.6877881155808613,15.202289342880249
MNAR,GAIN,14,inf,inf,2.1182000637054443
MNAR,MiceForest,14,0.525981713826348,0.7024534492976997,15.594801187515259
MNAR,GAIN,15,inf,inf,1.999624490737915
MNAR,MiceForest,15,0.5083499952961035,0.6801889973987231,15.330372095108032
MNAR,GAIN,16,inf,inf,2.0792975425720215
MNAR,MiceForest,16,0.5256595345255791,0.7089803217745729,15.477057456970215
MNAR,GAIN,17,inf,inf,2.398756742477417
MNAR,MiceForest,17,0.5122513843610774,0.6954552140087532,16.28268551826477
MNAR,GAIN,18,inf,inf,2.4947402477264404
MNAR,MiceForest,18,0.5160388299720441,0.6964133938901587,15.546797037124634
MNAR,GAIN,19,inf,inf,2.2961323261260986
MNAR,MiceForest,19,0.5119979853894023,0.6842433386476701,16.348517894744873
MNAR,GAIN,2,inf,inf,2.835783004760742
MNAR,MiceForest,2,0.540383146223839,0.7164599231632002,16.498575925827026
MNAR,GAIN,20,inf,inf,2.482512950897217
MNAR,MiceForest,20,0.5177797316966588,0.6917385768594768,16.194035291671753
MNAR,GAIN,21,inf,inf,2.7292349338531494
MNAR,MiceForest,21,0.5356224628572397,0.739689190038847,16.543503761291504
MNAR,GAIN,22,inf,inf,2.740968942642212
MNAR,MiceForest,22,0.5515422924873162,0.7612012317992737,16.469386100769043
MNAR,GAIN,23,inf,inf,2.823720932006836
MNAR,MiceForest,23,0.5123353599065363,0.706587517055815,15.467201471328735
MNAR,GAIN,24,inf,inf,2.6118979454040527
MNAR,MiceForest,24,0.5294221828601894,0.7136881665215938,15.343936443328857
MNAR,GAIN,25,inf,inf,2.5871167182922363
MNAR,MiceForest,25,0.5422223443482092,0.7377318418453763,15.329869747161865
MNAR,GAIN,26,inf,inf,2.6121981143951416
MNAR,MiceForest,26,0.5383691508447068,0.7457734885659336,15.227034091949463
MNAR,GAIN,27,inf,inf,2.8186304569244385
MNAR,MiceForest,27,0.5298552298586559,0.7198411572891352,15.092148542404175
MNAR,GAIN,28,inf,inf,2.777886152267456
MNAR,MiceForest,28,0.5414541166986712,0.740988301207386,15.27370285987854
MNAR,GAIN,29,inf,inf,2.7713451385498047
MNAR,MiceForest,29,0.540755228101892,0.7377691088042018,15.05105972290039
MNAR,GAIN,3,inf,inf,2.944387912750244
MNAR,MiceForest,3,0.5228934836630419,0.6944997113155049,14.804895639419556
MNAR,GAIN,30,inf,inf,2.883228063583374
MNAR,MiceForest,30,0.5393845850033203,0.7280922595518013,15.22784948348999
MNAR,GAIN,31,inf,inf,3.0761451721191406
